SubjectID,Age,Sex,sabbatical,SelfPerceivedEnglishReadingAbility,SelfPerceivedEnglishSpeakingAbility,SelfPerceivedEnglishWritingAbility,SelfPerceivedEnglishAbilityInGeneral,ComfortWithPresentEnglishAbilities,FrequencyOfReadingListeningWatchingEnglishMaterial_InNonEnglishClasses,ParticipatedInInterdisciplinaryCollaborationBetweenEnglishandOtherClasses,ConsideredStudyingAbroadWhereTeachingIsInEnglish,ToWhichDegreeEnglishImportantToYouInFutureStudies,ToWhichDegreeExpectToReadTextsInEnglish,ToWhichDegreeExpectCommunicationInEnglish,ComfortableWithEnglishTeachingAndMaterialsInFutureStudies,SelfPerceivedPreparednessInPotentialTeachingIsInEnglishInFutureStudies,WouldRequireExtraSupportReadingWritingSpeakingUnderstandingEnglishInThisContext,DoesSchoolSufficientlyPrepareStudentsToStudyInEnglishEnvironments,ImportanceOfEnglishToForFindingWork,DegreeOfExpectancyOfReadingEnglishTextInFutureWork,DegreeOfExpectancyOfEnglishCommunicationInFutureWork
1,19,Female,Yes,5,3,4,3,4,2,2,4,2,2,2,4,4,2,3,2,3,3
2,20,Male,Yes,5,4,4,4,4,2,2,3,2,3,2,3,4,2,3,1,2,2
3,20,Male,Yes,4,5,4,4,5,5,2,3,4,4,3,4,4,1,2,4,4,4
4,20,Male,Yes,4,3,4,3,3,5,2,2,2,4,2,3,3,2,2,3,3,2
5,20,Male,No,5,5,5,5,5,4,1,4,3,4,3,5,5,1,2,2,2,2
6,18,Male,Yes,4,4,5,4,4,3,2,4,4,4,4,4,4,2,3,4,4,1
7,19,Male,Yes,5,4,3,4,4,3,1,3,1,3,3,4,4,2,2,1,2,2
8,19,Male,Yes,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3
9,18,Female,Yes,4,3,4,4,3,3,2,4,4,5,4,3,4,3,3,3,3,3
10,20,Female,Yes,3,4,3,4,3,3,2,3,4,3,3,3,2,2,2,4,3,4
11,19,Female,Yes,5,5,5,5,5,2,1,5,3,4,3,4,4,1,2,2,3,2
12,20,Female,Yes,5,4,4,4,4,2,2,3,1,3,2,3,2,2,2,1,2,2
13,20,Female,Yes,5,4,4,4,4,3,2,4,4,4,3,3,4,2,4,2,5,3
14,19,Male,Yes,5,5,5,5,5,1,1,3,1,4,3,5,5,1,3,1,1,2
15,19,Male,No,4,4,4,4,4,2,2,3,3,3,3,4,3,1,3,3,2,3
16,20,Female,Yes,4,4,3,3,3,2,1,2,Na,3,Na,3,3,3,2,Na,2,1
17,19,Male,Yes,5,3,3,4,4,3,4,4,3,3,2,3,3,2,2,2,3,2
18,19,Female,Yes,5,3,4,3,4,4,1,4,3,5,3,4,2,3,2,3,4,3
19,19,Female,Yes,5,5,5,5,5,4,2,4,5,5,3,5,5,1,3,2,5,3
20,18,Female,Yes,4,4,4,4,4,1,1,2,2,3,2,3,3,1,4,3,3,2
21,19,Female,Yes,5,5,5,5,5,3,1,5,5,5,5,5,1,1,3,5,5,3
22,20,Female,Yes,4,4,3,4,3,5,4,1,3,2,2,3,4,1,4,3,2,2
23,19,Male,Yes,5,5,5,5,5,4,1,4,4,4,3,4,5,1,3,3,4,3
24,22,Male,No,5,5,5,5,5,4,4,4,2,4,4,4,4,1,4,3,4,4
25,20,Female,Yes,4,4,3,4,4,3,1,5,3,5,4,5,5,2,5,3,3,2
26,19,Female,Yes,5,4,4,4,4,2,2,4,3,2,2,4,4,2,3,1,3,2
27,19,Female,Yes,3,4,2,3,3,3,1,3,3,3,3,2,3,3,3,1,5,4
28,20,Female,Yes,5,4,4,4,5,3,2,3,4,4,3,4,3,2,3,3,3,2
29,20,Male,Yes,4,3,3,3,4,4,4,4,3,4,4,4,4,2,3,3,4,3
30,19,Male,Yes,4,4,4,4,4,3,3,3,3,4,3,4,3,2,2,3,1,2
31,20,Female,Yes,4,4,4,4,4,4,3,5,5,5,5,5,5,1,4,5,4,5
32,20,Male,Yes,4,3,3,3,4,1,2,2,2,3,3,3,4,2,2,2,3,3
33,20,Male,Yes,5,4,4,4,4,2,3,4,2,3,3,4,4,1,3,4,3,2
34,20,Male,Yes,4,3,3,3,3,3,1,3,2,2,2,3,2,3,2,2,3,2
35,19,Male,Yes,5,5,5,5,5,2,2,3,3,3,3,3,5,2,4,1,3,3
36,20,Female,Yes,4,3,2,3,3,2,2,2,1,2,1,2,3,1,3,2,4,2
37,20,Male,Yes,4,4,4,4,4,3,3,4,5,4,4,4,3,4,2,4,3,3
38,19,Male,Yes,4,3,3,4,3,3,3,4,3,3,4,4,2,2,2,2,2,2
39,20,Female,Yes,3,2,2,2,3,1,1,2,1,2,2,2,1,2,1,1,2,2
40,20,Female,Yes,4,3,4,4,4,2,1,4,4,3,3,4,3,3,3,2,2,2
41,19,Female,Yes,4,4,4,4,4,2,1,2,3,4,2,3,4,1,4,1,2,2
42,19,Female,Yes,5,4,5,5,4,3,4,4,5,5,3,3,4,2,3,3,3,3
43,19,Female,Yes,4,4,4,4,4,3,1,3,4,3,3,4,4,1,4,1,2,2
44,18,Male,Yes,5,5,5,5,5,5,3,5,4,4,3,5,5,1,5,3,3,3
45,20,Female,Yes,4,4,4,4,3,3,3,3,1,3,3,4,4,2,4,1,2,2
46,20,Male,Yes,4,4,4,4,5,4,Na,4,3,4,3,2,4,3,4,3,2,2
47,19,Male,Yes,5,4,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
48,20,Female,Yes,5,4,4,4,4,3,3,5,4,4,4,4,4,3,2,2,3,3
49,19,Female,Yes,3,3,3,3,2,3,2,4,1,3,3,3,3,3,2,3,3,3
50,19,Female,Yes,2,1,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1
51,19,Female,Yes,3,3,3,3,3,2,1,5,1,4,3,3,2,3,1,2,2,2
52,19,Female,Yes,4,4,4,3,3,3,3,3,2,3,3,2,3,3,4,2,2,2
53,20,Female,Yes,5,4,4,4,4,2,3,3,1,2,2,5,5,1,3,1,2,1
54,20,Female,Yes,4,3,3,3,3,4,4,2,2,2,2,3,2,3,2,2,1,2
55,20,Male,Yes,4,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,2,2
56,19,Female,Yes,3,3,3,3,3,3,3,1,1,2,2,2,1,3,2,1,2,1
57,19,Female,Yes,4,4,3,4,3,3,2,3,3,4,4,4,4,2,2,2,3,2
58,19,Male,Yes,4,4,5,5,5,3,3,2,3,3,4,3,3,2,4,2,3,3
59,20,Female,Yes,4,5,4,5,4,3,2,4,3,4,3,4,5,3,1,3,3,3
60,19,Female,Yes,2,3,1,2,2,2,2,1,1,1,1,1,1,5,3,1,1,1
61,18,Female,Yes,3,3,3,3,3,3,3,2,3,2,2,2,2,2,5,2,3,2
62,19,Female,Yes,4,3,4,4,3,3,3,5,5,5,5,4,4,2,3,3,3,3
63,18,Female,Yes,3,3,3,3,3,2,2,1,1,1,2,3,3,1,2,1,3,2
64,19,Female,Yes,4,4,4,4,4,4,3,4,3,3,2,5,4,1,1,3,4,2
65,20,Female,Yes,3,3,2,3,2,4,3,3,2,3,4,2,1,4,2,3,3,3
66,19,Female,Yes,2,2,2,2,2,3,2,1,1,1,3,1,1,3,3,2,2,2
67,18,Female,Yes,5,4,4,4,4,2,1,4,5,4,4,4,4,3,4,4,3,2
68,18,Female,Yes,4,4,4,4,4,3,4,4,3,3,2,3,3,2,3,3,5,3
69,19,Female,Yes,4,4,4,4,3,3,1,4,2,2,2,4,4,Na,3,3,4,4
70,20,Male,Yes,5,5,5,5,5,2,2,4,3,3,2,3,2,1,3,2,2,2
71,20,Female,Yes,4,4,3,3,4,3,3,4,4,5,5,4,4,1,3,4,3,4
72,20,Male,Yes,3,3,3,4,2,5,3,3,4,4,4,4,3,3,4,4,3,2
73,19,Female,Yes,5,5,4,5,5,4,3,1,2,5,1,4,4,1,1,2,1,1
74,19,Female,Yes,4,4,4,4,4,1,1,4,3,3,2,4,4,2,3,1,3,1
75,19,Male,Yes,4,5,4,4,4,5,4,3,4,5,3,4,4,1,3,1,2,4
76,19,Female,Yes,3,3,3,3,3,3,3,1,2,2,2,3,3,1,4,1,2,1
77,20,Male,Yes,5,4,5,5,5,3,1,3,3,4,3,4,4,1,3,4,4,4
